,roc_auc,f1_score,balanced_accuracy,average_precision
External - HistGradientBoosting,0.983,0.6897,0.8253,0.7511
External - Random Forest,0.9762,0.6044,0.9489,0.6232
External - Logistic Regression,0.9833,0.6219,0.949,0.755
Our - HistGradientBoosting,0.5532,0.0,0.5,0.0705
Our - Random Forest,0.5499,0.1205,0.5325,0.0707
Our - Logistic Regression,0.5564,0.1223,0.5371,0.0717
Hybrid - HistGradientBoosting,0.555,0.0,0.5,0.0712
Hybrid - Random Forest,0.5541,0.1228,0.5369,0.0713
Hybrid - Logistic Regression,0.5562,0.1228,0.5382,0.0718
